"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-02-23T13:34:58.28Z[Etc/UTC]","0.0","34.44"
"Modify Order","Order Information","SUCCESS","2023-02-23T13:35:32.753Z[Etc/UTC]","0.0","39.21"
"Modify Order","Current Test Information","SUCCESS","2023-02-23T13:36:11.999Z[Etc/UTC]","0.0","29.78"
"Modify Order","Available Test Information","SUCCESS","2023-02-23T13:36:41.812Z[Etc/UTC]","0.0","10.29"
"Modify Order","Add Order","SUCCESS","2023-02-23T13:36:52.128Z[Etc/UTC]","0.0","34.27"
"Modify Order","Collection Date","SUCCESS","2023-02-23T13:37:26.425Z[Etc/UTC]","0.0","51.86"
"Modify Order","Collection Time","SUCCESS","2023-02-23T13:38:18.312Z[Etc/UTC]","0.0","62.03"
"Modify Order","Add Tests","SUCCESS","2023-02-23T13:39:20.372Z[Etc/UTC]","0.0","41.57"
"Modify Order","Verification","SUCCESS","2023-02-23T13:40:01.969Z[Etc/UTC]","0.0","11.05"
