"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","ERROR","2023-03-22T17:26:51.568Z[Etc/UTC]","0.0","13.7"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-22T17:27:05.32Z[Etc/UTC]","0.0","26.98"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-22T17:27:32.338Z[Etc/UTC]","0.0","13.34"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-22T17:27:45.717Z[Etc/UTC]","0.0","13.44"
"Test Management Feature","Add new tests","ERROR","2023-03-22T17:27:59.193Z[Etc/UTC]","0.0","13.35"
"Test Management Feature","Verify Added new testName","ERROR","2023-03-22T17:28:12.582Z[Etc/UTC]","0.0","26.83"
"Test Management Feature","Modify test details","ERROR","2023-03-22T17:28:39.448Z[Etc/UTC]","0.0","27.01"
