"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-07-22T09:02:12.728Z[Etc/UTC]","0.0","7.12"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-07-22T09:02:50.792Z[Etc/UTC]","0.0","15.84"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-07-22T09:03:06.663Z[Etc/UTC]","0.0","15.5"
"Test Management Feature","Add new tests","SUCCESS","2023-07-22T09:03:22.2Z[Etc/UTC]","0.0","20.83"
"Test Management Feature","Verify Added new testName","SUCCESS","2023-07-22T09:03:43.063Z[Etc/UTC]","0.0","22.17"
