"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T23:12:15.912Z[Etc/UTC]","0.0","118.4"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T23:14:14.361Z[Etc/UTC]","0.0","58.62"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T23:15:13.026Z[Etc/UTC]","0.0","58.83"
"Test Management Feature","Add new tests","ERROR","2023-03-16T23:16:11.898Z[Etc/UTC]","0.0","73.33"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-16T23:17:25.266Z[Etc/UTC]","0.0","19.45"
"Test Management Feature","Modify test details","ERROR","2023-03-16T23:17:44.759Z[Etc/UTC]","0.0","105.81"
