"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-03-20T09:28:27.659Z[Etc/UTC]","0.0","33.11"
"Modify Order","Order Information","SUCCESS","2023-03-20T09:29:00.812Z[Etc/UTC]","0.0","40.15"
"Modify Order","Current Test Information","SUCCESS","2023-03-20T09:29:41.016Z[Etc/UTC]","0.0","30.02"
"Modify Order","Available Test Information","SUCCESS","2023-03-20T09:30:11.076Z[Etc/UTC]","0.0","10.26"
"Modify Order","Add Order","SUCCESS","2023-03-20T09:30:21.381Z[Etc/UTC]","0.0","33.88"
"Modify Order","Collection Date","SUCCESS","2023-03-20T09:30:55.297Z[Etc/UTC]","0.0","49.38"
"Modify Order","Collection Time","SUCCESS","2023-03-20T09:31:44.718Z[Etc/UTC]","0.0","56.98"
"Modify Order","Add Tests","SUCCESS","2023-03-20T09:32:41.739Z[Etc/UTC]","0.0","40.2"
"Modify Order","Verification","SUCCESS","2023-03-20T09:33:21.994Z[Etc/UTC]","0.0","10.48"
