"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","ERROR","2023-03-16T21:09:18.502Z[Etc/UTC]","0.0","79.9"
"Modify Order","Order Information","FAILURE","2023-03-16T21:10:38.441Z[Etc/UTC]","0.0","8.12"
"Modify Order","Current Test Information","FAILURE","2023-03-16T21:10:46.611Z[Etc/UTC]","0.0","7.48"
"Modify Order","Available Test Information","FAILURE","2023-03-16T21:10:54.128Z[Etc/UTC]","0.0","7.28"
"Modify Order","Add Order","ERROR","2023-03-16T21:11:01.447Z[Etc/UTC]","0.0","60.06"
"Modify Order","Collection Date","ERROR","2023-03-16T21:12:01.546Z[Etc/UTC]","0.0","239.25"
"Modify Order","Collection Time","ERROR","2023-03-16T21:16:00.834Z[Etc/UTC]","0.0","299.74"
"Modify Order","Add Tests","ERROR","2023-03-16T21:21:00.613Z[Etc/UTC]","0.0","119.93"
