"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-02-25T22:44:51.575Z[Etc/UTC]","0.0","37.7"
"Modify Order","Order Information","SUCCESS","2023-02-25T22:45:29.307Z[Etc/UTC]","0.0","40.67"
"Modify Order","Current Test Information","SUCCESS","2023-02-25T22:46:10.012Z[Etc/UTC]","0.0","32.45"
"Modify Order","Available Test Information","SUCCESS","2023-02-25T22:46:42.49Z[Etc/UTC]","0.0","13.15"
"Modify Order","Add Order","SUCCESS","2023-02-25T22:46:55.674Z[Etc/UTC]","0.0","37.1"
"Modify Order","Collection Date","SUCCESS","2023-02-25T22:47:32.803Z[Etc/UTC]","0.0","59.72"
"Modify Order","Collection Time","SUCCESS","2023-02-25T22:48:32.561Z[Etc/UTC]","0.0","71.11"
"Modify Order","Add Tests","SUCCESS","2023-02-25T22:49:43.702Z[Etc/UTC]","0.0","45.22"
"Modify Order","Verification","SUCCESS","2023-02-25T22:50:28.958Z[Etc/UTC]","0.0","12.12"
