"Story","Title","Result","Date","Stability","Duration (s)"
"Results Entry","Accessing Results Entry","SUCCESS","2023-03-16T16:14:44.865Z[Etc/UTC]","0.0","15.36"
"Results Entry","Searching for test result entry forms","SUCCESS","2023-03-16T16:15:00.268Z[Etc/UTC]","0.0","23.11"
"Results Entry","Results Entry Set-up","SUCCESS","2023-03-16T16:15:23.42Z[Etc/UTC]","0.0","63.13"
"Results Entry","Entering Test Results","SUCCESS","2023-03-16T16:16:26.593Z[Etc/UTC]","0.0","17.58"
"Results Entry","Overall Page","FAILURE","2023-03-16T16:16:44.213Z[Etc/UTC]","0.0","37.33"
"Results Entry","Verification","FAILURE","2023-03-16T16:17:21.588Z[Etc/UTC]","0.0","24.91"
"Results Entry","Accept As Is functionality","SUCCESS","2023-03-16T16:17:46.534Z[Etc/UTC]","0.0","14.64"
"Results Entry","Changing Results","SUCCESS","2023-03-16T16:18:09.992Z[Etc/UTC]","0.0","12.09"
