"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-03-20T11:47:44.995Z[Etc/UTC]","0.0","34.88"
"Modify Order","Order Information","SUCCESS","2023-03-20T11:48:19.909Z[Etc/UTC]","0.0","40.58"
"Modify Order","Current Test Information","SUCCESS","2023-03-20T11:49:00.537Z[Etc/UTC]","0.0","30.78"
"Modify Order","Available Test Information","SUCCESS","2023-03-20T11:49:31.355Z[Etc/UTC]","0.0","11.39"
"Modify Order","Add Order","SUCCESS","2023-03-20T11:49:42.784Z[Etc/UTC]","0.0","35.39"
"Modify Order","Collection Date","SUCCESS","2023-03-20T11:50:18.209Z[Etc/UTC]","0.0","54.53"
"Modify Order","Collection Time","SUCCESS","2023-03-20T11:51:12.78Z[Etc/UTC]","0.0","64.88"
"Modify Order","Add Tests","SUCCESS","2023-03-20T11:52:17.7Z[Etc/UTC]","0.0","42.84"
"Modify Order","Verification","SUCCESS","2023-03-20T11:53:00.575Z[Etc/UTC]","0.0","11.81"
