"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T14:24:02.937Z[Etc/UTC]","0.0","120.56"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T14:26:03.534Z[Etc/UTC]","0.0","60.28"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T14:27:03.853Z[Etc/UTC]","0.0","60.78"
"Test Management Feature","Add new tests","ERROR","2023-03-16T14:28:04.675Z[Etc/UTC]","0.0","74.5"
"Test Management Feature","Modify test details","ERROR","2023-03-16T14:29:43.286Z[Etc/UTC]","0.0","106.85"
