"Story","Title","Result","Date","Stability","Duration (s)"
"WorkPlan Feature","Work plan by Test","ERROR","2023-03-22T17:30:27.853Z[Etc/UTC]","0.0","13.44"
"WorkPlan Feature","Work plan by Panel","ERROR","2023-03-22T17:30:41.331Z[Etc/UTC]","0.0","13.4"
"WorkPlan Feature","Work plan by Unit","ERROR","2023-03-22T17:30:54.762Z[Etc/UTC]","0.0","13.49"
"WorkPlan Feature","Verification","ERROR","2023-03-22T17:31:08.287Z[Etc/UTC]","0.0","13.55"
