"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-02-24T12:32:00.584Z[Etc/UTC]","0.0","39.84"
"Modify Order","Order Information","SUCCESS","2023-02-24T12:32:40.463Z[Etc/UTC]","0.0","42.71"
"Modify Order","Current Test Information","SUCCESS","2023-02-24T12:33:23.212Z[Etc/UTC]","0.0","33.31"
"Modify Order","Available Test Information","SUCCESS","2023-02-24T12:33:56.561Z[Etc/UTC]","0.0","13.52"
"Modify Order","Add Order","SUCCESS","2023-02-24T12:34:10.12Z[Etc/UTC]","0.0","37.29"
"Modify Order","Collection Date","SUCCESS","2023-02-24T12:34:47.446Z[Etc/UTC]","0.0","61.14"
"Modify Order","Collection Time","SUCCESS","2023-02-24T12:35:48.619Z[Etc/UTC]","0.0","73.33"
"Modify Order","Add Tests","SUCCESS","2023-02-24T12:37:01.984Z[Etc/UTC]","0.0","47.9"
"Modify Order","Verification","SUCCESS","2023-02-24T12:37:49.918Z[Etc/UTC]","0.0","13.32"
