"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-02-23T13:51:18.087Z[Etc/UTC]","0.0","6.79"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-02-23T13:51:24.908Z[Etc/UTC]","0.0","31.71"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-02-23T13:51:56.646Z[Etc/UTC]","0.0","15.18"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-02-23T13:52:11.852Z[Etc/UTC]","0.0","15.27"
