"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","ERROR","2023-03-16T16:02:07.153Z[Etc/UTC]","0.0","79.44"
"Modify Order","Order Information","FAILURE","2023-03-16T16:03:26.633Z[Etc/UTC]","0.0","10.28"
"Modify Order","Current Test Information","SUCCESS","2023-03-16T16:03:36.955Z[Etc/UTC]","0.0","31.29"
"Modify Order","Available Test Information","SUCCESS","2023-03-16T16:04:08.287Z[Etc/UTC]","0.0","11.0"
"Modify Order","Add Order","SUCCESS","2023-03-16T16:04:19.331Z[Etc/UTC]","0.0","35.15"
"Modify Order","Collection Date","SUCCESS","2023-03-16T16:04:54.525Z[Etc/UTC]","0.0","54.17"
"Modify Order","Collection Time","SUCCESS","2023-03-16T16:05:48.737Z[Etc/UTC]","0.0","65.66"
"Modify Order","Add Tests","FAILURE","2023-03-16T16:06:54.438Z[Etc/UTC]","0.0","38.88"
"Modify Order","Verification","SUCCESS","2023-03-16T16:07:33.356Z[Etc/UTC]","0.0","10.02"
