"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","ERROR","2023-03-22T17:17:41.049Z[Etc/UTC]","0.0","13.29"
"Modify Order","Order Information","ERROR","2023-03-22T17:17:54.379Z[Etc/UTC]","0.0","13.36"
"Modify Order","Current Test Information","ERROR","2023-03-22T17:18:07.77Z[Etc/UTC]","0.0","13.31"
"Modify Order","Available Test Information","ERROR","2023-03-22T17:18:21.111Z[Etc/UTC]","0.0","13.35"
"Modify Order","Add Order","ERROR","2023-03-22T17:18:34.502Z[Etc/UTC]","0.0","13.3"
"Modify Order","Collection Date","ERROR","2023-03-22T17:18:47.842Z[Etc/UTC]","0.0","81.19"
"Modify Order","Collection Time","ERROR","2023-03-22T17:20:09.062Z[Etc/UTC]","0.0","67.08"
"Modify Order","Add Tests","ERROR","2023-03-22T17:21:16.187Z[Etc/UTC]","0.0","26.41"
"Modify Order","Verification","ERROR","2023-03-22T17:21:42.634Z[Etc/UTC]","0.0","13.2"
